===== EMC disks on TEDV2D01 =====
|Disk|SIZE|PVID|SYM ID|LUN |VG/VGID |
|hdiskpower0|0|none|000190103339|0095 | |
|hdiskpower4|138105|00c9f390f0bafd71|000190103339|03A1 |altinst_rootvg |
|hdiskpower5|34526|00c9f390eb915d1c|000190103339|03E5 |origredovg |
|hdiskpower6|34526|00c9f390eb7b56ae|000190103339|03E9 |mirrredovg |
|hdiskpower1|0|none|000190103339|0096 | |
|hdiskpower2|2|none|000190103339|0097 | |
|hdiskpower3|2|none|000190103339|0098 | |
|hdiskpower7|34526|00c9f3a064879663|000190103339|03ED |datavg01 |
|hdiskpower8|34526|00c9f3a0648e6306|000190103339|03F1 |datavg01 |
|hdiskpower9|34526|00c9f3a0648a7545|000190103339|03F8 |datavg01 |
|hdiskpower10|34526|00c9f3a064868fd9|000190103339|03FC |datavg01 |
|hdiskpower11|34526|00c9f3a06491923a|000190103339|03FD |datavg01 |
|hdiskpower12|34526|00c9f3a0648db3cd|000190103339|0403 |datavg01 |
|hdiskpower13|34526|00c9f3a06489b8ee|000190103339|0404 |datavg01 |
|hdiskpower14|34526|00c9f3a0649465c9|000190103339|0408 |datavg01 |
|hdiskpower15|34526|00c9f3a0649066bc|000190103339|040C |datavg01 |
|hdiskpower16|34526|00c9f3a0648cb83c|000190103339|0410 |datavg01 |
|hdiskpower17|34526|00c9f3a06489096c|000190103339|0414 |datavg01 |
|hdiskpower18|34526|00c9f3a064943e3f|000190103339|0418 |datavg01 |
|hdiskpower19|34526|00c9f3a0649046f3|000190103339|041F |datavg01 |
|hdiskpower20|34526|00c9f3a0648c9b05|000190103339|0423 |datavg01 |
|hdiskpower21|34526|00c9f3a06488e9cd|000190103339|0424 |datavg01 |
|hdiskpower22|34526|00c9f3a0649425a7|000190103339|042A |datavg01 |
|hdiskpower23|34526|00c9f3a06490a309|000190103339|042B |datavg01 |
|hdiskpower24|34526|00c9f3a0648cfb04|000190103339|042F |datavg01 |
|hdiskpower25|34526|00c9f3a064897b17|000190103339|0433 |datavg01 |
|hdiskpower26|34526|00c9f3a064946f63|000190103339|0437 |datavg01 |
|hdiskpower27|34526|00c9f3a06a15cc48|000190103339|043B |datavg01 |
|hdiskpower28|34526|00c9f3a06a208e89|000190103339|043F |datavg01 |
|hdiskpower29|34526|00c9f3a06a1bfdde|000190103339|0446 |datavg01 |
|hdiskpower30|34526|00c9f3a06a1744d8|000190103339|044A |datavg01 |
|hdiskpower31|34526|00c9f3a06a12b2b3|000190103339|044B |datavg01 |
|hdiskpower32|34526|00c9f3a06a1d61db|000190103339|0451 |datavg01 |
|hdiskpower33|34526|00c9f3a06a18bbd8|000190103339|0452 |datavg01 |
|hdiskpower34|34526|00c9f3a06a142402|000190103339|0456 |datavg01 |
|hdiskpower35|34526|00c9f3a06a1ef2d9|000190103339|045A |datavg01 |
|hdiskpower36|34526|00c9f3a06a1aa6b6|000190103339|045E |datavg01 |
|hdiskpower37|34526|00c9f3a06a16752a|000190103339|0462 |datavg01 |
|hdiskpower38|34526|00c9f3a06a123a8e|000190103339|0466 |datavg01 |
|hdiskpower39|34526|00c9f3a06a1d2a1b|000190103339|046D |datavg01 |
|hdiskpower40|34526|00c9f3a06a189351|000190103339|0471 |datavg01 |
|hdiskpower41|34526|00c9f3a06a144e7a|000190103339|0472 |datavg01 |
|hdiskpower42|34526|00c9f3a08641c8be|000190103339|0478 |datavg01 |
|hdiskpower43|34526|00c9f3a06072bf9b|000190103339|0479 |datavg01 |
|hdiskpower44|34526|00c9f3a0607b47fd|000190103339|047D |datavg01 |
|hdiskpower45|34526|00c9f3a06a1eb640|000190103339|0481 |datavg02 |
|hdiskpower46|34526|00c9f3a06a1aa6f9|000190103339|0485 |datavg02 |
|hdiskpower47|34526|00c9f3a06a25ab00|000190103339|0489 |datavg02 |
|hdiskpower48|34526|00c9f3a06a218d9d|000190103339|048D |datavg02 |
|hdiskpower49|34526|00c9f3a06a1ced8c|000190103339|0494 |datavg02 |
|hdiskpower50|34526|00c9f3a06a18c681|000190103339|0498 |datavg02 |
|hdiskpower51|34526|00c9f3a06a23ccb8|000190103339|0499 |datavg02 |
|hdiskpower52|34526|00c9f3a06a1f1c21|000190103339|049F |datavg02 |
|hdiskpower53|34526|00c9f3a06a1a3dfb|000190103339|04A0 |datavg02 |
|hdiskpower54|34526|00c9f3a06a257a30|000190103339|04A4 |datavg02 |
|hdiskpower55|34526|00c9f3a06a20e940|000190103339|04A8 |datavg02 |
|hdiskpower56|34526|00c9f3a06a1c8cbd|000190103339|04AC |datavg02 |
|hdiskpower57|34526|00c9f3a06a276c64|000190103339|04B0 |datavg02 |
|hdiskpower58|34526|00c9f3a06a231511|000190103339|04B4 |datavg02 |
|hdiskpower59|34526|00c9f3a06a1e7c11|000190103339|04BB |datavg02 |
|hdiskpower60|34526|00c9f3a06a1a0796|000190103339|04BF |datavg02 |
|hdiskpower61|34526|00c9f3a06a24fda4|000190103339|04C0 |datavg02 |
|hdiskpower62|34526|00c9f3a06a20f367|000190103339|04C6 |datavg02 |
|hdiskpower63|34526|00c9f3a06a1cd6b1|000190103339|04C7 |datavg02 |
|hdiskpower64|34526|00c9f3a06a27b59d|000190103339|04CB |datavg02 |
|hdiskpower65|34526|00c9f3a06a2482aa|000190103339|04CF |datavg02 |
|hdiskpower66|34526|00c9f3a06a2074ab|000190103339|04D3 |datavg02 |
|hdiskpower67|34526|00c9f3a06a1cc2db|000190103339|04D7 |datavg02 |
|hdiskpower68|34526|00c9f3a06a18d352|000190103339|04DB |datavg02 |
|hdiskpower69|34526|00c9f3a06a23c4c4|000190103339|04E2 |datavg02 |
|hdiskpower70|34526|00c9f3a06a1f2f6f|000190103339|04E6 |datavg02 |
|hdiskpower71|34526|00c9f3a06a1a9f10|000190103339|04E7 |datavg02 |
|hdiskpower72|34526|00c9f3a06a25d829|000190103339|04ED |datavg02 |
|hdiskpower73|34526|00c9f3a06a21affa|000190103339|04EE |datavg02 |
|hdiskpower74|34526|00c9f3a06a1d72d3|000190103339|04F2 |datavg02 |
|hdiskpower75|34526|00c9f3a06a193fb4|000190103339|04F6 |datavg02 |
|hdiskpower76|34526|00c9f3a06a243055|000190103339|04FA |datavg02 |
|hdiskpower77|34526|00c9f3a06a1f7709|000190103339|04FE |datavg02 |
|hdiskpower78|34526|00c9f3a06a1a8591|000190103339|0502 |datavg02 |
|hdiskpower79|34526|00c9f3a06a21f557|000190103339|0509 |datavg03 |
|hdiskpower80|34526|00c9f3a06a1e0f4f|000190103339|050D |datavg03 |
|hdiskpower81|34526|00c9f3a06a293142|000190103339|050E |datavg03 |
|hdiskpower82|34526|00c9f3a06a2508d9|000190103339|0514 |datavg03 |
|hdiskpower83|34526|00c9f3a06a20a653|000190103339|0515 |datavg03 |
|hdiskpower84|34526|00c9f3a06a2b8ba5|000190103339|0519 |datavg03 |
|hdiskpower85|34526|00c9f3a06a275881|000190103339|051D |datavg03 |
|hdiskpower86|34526|00c9f3a06a22d871|000190103339|0521 |datavg03 |
|hdiskpower87|34526|00c9f3a06a1ee5e6|000190103339|0525 |datavg03 |
|hdiskpower88|34526|00c9f3a06a29d2cf|000190103339|0529 |datavg03 |
|hdiskpower89|34526|00c9f3a06a253331|000190103339|0530 |datavg03 |
|hdiskpower90|34526|00c9f3a06a21409b|000190103339|0534 |datavg03 |
|hdiskpower91|34526|00c9f3a06a2c2ad9|000190103339|0535 |datavg03 |
|hdiskpower92|34526|00c9f3a06a27bae4|000190103339|053B |datavg03 |
|hdiskpower93|34526|00c9f3a06a2307ae|000190103339|053C |datavg03 |
|hdiskpower94|34526|00c9f3a06a1ecad4|000190103339|0540 |datavg03 |
|hdiskpower95|34526|00c9f3a06a29e833|000190103339|0544 |datavg03 |
|hdiskpower96|34526|00c9f3a06a25bc25|000190103339|0548 |datavg03 |
|hdiskpower97|34526|00c9f3a06a2105e4|000190103339|054C |datavg03 |
|hdiskpower98|34526|00c9f3a06a2c0309|000190103339|0550 |datavg03 |
|hdiskpower99|34526|00c9f3a06a278984|000190103339|0557 |datavg03 |
|hdiskpower100|34526|00c9f3a06a2344fc|000190103339|055B |datavg03 |
|hdiskpower101|34526|00c9f3a06a1ec0dc|000190103339|055C |datavg03 |
|hdiskpower102|34526|00c9f3a06a2a167b|000190103339|0563 |datavg03 |
|hdiskpower103|34526|00c9f3a06a25bf42|000190103339|0568 |datavg03 |
|hdiskpower104|34526|00c9f3a06a219cfc|000190103339|056C |datavg03 |
|hdiskpower105|34526|00c9f3a06a2d0fde|000190103339|0570 |datavg03 |
|hdiskpower106|34526|00c9f3a06a292e5f|000190103339|0574 |datavg03 |
|hdiskpower107|34526|00c9f3a06a24ec38|000190103339|0578 |datavg03 |
|hdiskpower108|34526|00c9f3a06a217495|000190103339|057B |datavg03 |
|hdiskpower109|34526|00c9f3a06a2d119c|000190103339|057F |datavg03 |
|hdiskpower110|34526|00c9f3a06a2903a3|000190103339|0583 |datavg03 |
|hdiskpower111|34526|00c9f3a06a24a694|000190103339|0589 |datavg03 |
|hdiskpower112|34526|00c9f3a06a20cb0a|000190103339|058B |datavg03 |
|hdiskpower113|34526|00c9f3a06a2b7ce9|000190103339|0591 |datavg03 |
|hdiskpower114|34526|00c9f3a06a60462e|000190103339|0595 |datavg04 |
|hdiskpower115|34526|00c9f3a06a5b7bc2|000190103339|0599 |datavg04 |
|hdiskpower116|34526|00c9f3a06a56cdcc|000190103339|059D |datavg04 |
|hdiskpower117|34526|00c9f3a06a6148f2|000190103339|05A1 |datavg04 |
|hdiskpower118|34526|00c9f3a06a5cea54|000190103339|05A5 |datavg04 |
|hdiskpower119|34526|00c9f3a06a57c9a1|000190103339|05A9 |datavg04 |
|hdiskpower120|34526|00c9f3a06a6233c8|000190103339|05AC |datavg04 |
|hdiskpower121|34526|00c9f3a06a5dd28d|000190103339|05B1 |datavg04 |
|hdiskpower122|34526|00c9f3a06a599d4f|000190103339|05B6 |datavg04 |
|hdiskpower123|34526|00c9f3a06a5feefb|000190103339|05BA |datavg04 |
|hdiskpower124|34526|00c9f3a06a5b53a1|000190103339|0D39 |datavg04 |
|hdiskpower125|34526|00c9f3a06a570902|000190103339|0D3D |datavg04 |
|hdiskpower126|34526|00c9f3a06a617d9a|000190103339|0D41 |datavg04 |
|hdiskpower127|34526|00c9f3a06a5cce6c|000190103339|0D45 |datavg04 |
|hdiskpower128|34526|00c9f3a06a585f2a|000190103339|0D49 |datavg04 |
|hdiskpower129|34526|00c9f3a06a53d1e1|000190103339|0D4D |datavg04 |
|hdiskpower130|34526|00c9f3a06a5ea5f5|000190103339|0D51 |datavg04 |
|hdiskpower131|34526|00c9f3a06a5a8cf9|000190103339|0D55 |datavg04 |
|hdiskpower132|34526|00c9f3a06a55b84c|000190103339|0D59 |datavg04 |
|hdiskpower133|34526|00c9f3a06a601241|000190103339|0D5D |datavg04 |
|hdiskpower134|34526|00c9f3a06a5b9efd|000190103339|0D61 |datavg04 |
|hdiskpower135|34526|00c9f3a06a572602|000190103339|0D65 |datavg04 |
|hdiskpower136|34526|00c9f3a06a620ef7|000190103339|0D69 |datavg04 |
|hdiskpower140|34526|00c9f3a06a5d72b3|000190103339|0D6D |datavg04 |
|hdiskpower141|34526|00c9f3a06a58895d|000190103339|0D71 |datavg04 |
