===== EMC disks on teprbk01 =====

^Disk^Size(MB)^PVID^Sym/Clarion S/N^LUN^VG/VGID^
|hdiskpower4|138105|00c9f3a06e316a22|EMC-SYMM/CLAR-000190103339|0381 |00c9f3a000004c000000012f592a7c38 |
|hdiskpower7|34526|00c9f3a06ce504fc|EMC-SYMM/CLAR-000190103339|03C9 | |
|hdiskpower9|138105|00c9f3a06dde6a56|EMC-SYMM/CLAR-000190103339|0821 |00c9f3a000004c00000001265d43d912 |
|hdiskpower10|2|none|EMC-SYMM/CLAR-000190103339|0091 | |
|hdiskpower11|2|none|EMC-SYMM/CLAR-000190103339|0092 | |
|hdiskpower12|2|none|EMC-SYMM/CLAR-000190103339|0093 | |
|hdiskpower13|2|none|EMC-SYMM/CLAR-000190103339|0094 | |
|hdisk496|138097|00ce6b8527e80fb8| |  |rootvg |
|hdisk497|138097|00ce6b8527eaf7de| |  |altinst_rootvg |
|hdisk788|34526|00ce6b85f3a4e533| |  |datavg |
|hdisk789|34526|00ce6b85f3a9b320| |  |veritasvg |
|hdisk790|34526|00ce6b85f39da776| |  |veritasvg |
|hdisk837|524288|00ce6b8523421af6|IBM-v9000-600507680C80817DF|80000000000019F |datavg01 |
|hdisk838|524288|00ce6b8523421ba8|IBM-v9000-600507680C80817DF|8000000000001A0 |datavg01 |
|hdisk839|524288|00ce6b8523421c5d|IBM-v9000-600507680C80817DF|8000000000001A1 |datavg01 |
|hdisk840|524288|00ce6b8523421d11|IBM-v9000-600507680C80817DF|8000000000001A2 |datavg01 |
|hdisk841|524288|00ce6b8523421dcc|IBM-v9000-600507680C80817DF|8000000000001A3 |datavg01 |
|hdisk842|524288|00ce6b8523421e93|IBM-v9000-600507680C80817DF|8000000000001A4 |datavg01 |
|hdisk843|524288|00ce6b8523421f3e|IBM-v9000-600507680C80817DF|8000000000001A5 |datavg01 |
|hdisk844|524288|00ce6b8523421fee|IBM-v9000-600507680C80817DF|8000000000001A6 |datavg01 |
|hdisk845|524288|00ce6b85234220a2|IBM-v9000-600507680C80817DF|8000000000001A7 |datavg01 |
|hdisk846|524288|00ce6b8523425033|IBM-v9000-600507680C80817DF|8000000000001A8 |datavg02 |
|hdisk847|524288|00ce6b8523425106|IBM-v9000-600507680C80817DF|8000000000001A9 |datavg02 |
|hdisk848|524288|00ce6b8523425205|IBM-v9000-600507680C80817DF|8000000000001AA |datavg02 |
|hdisk849|524288|00ce6b85234252d4|IBM-v9000-600507680C80817DF|8000000000001AB |datavg02 |
|hdisk850|524288|00ce6b85234253cb|IBM-v9000-600507680C80817DF|8000000000001AC |datavg02 |
|hdisk851|524288|00ce6b8523425485|IBM-v9000-600507680C80817DF|8000000000001AD |datavg02 |
|hdisk852|524288|00ce6b852342553b|IBM-v9000-600507680C80817DF|8000000000001AE |datavg02 |
|hdisk853|524288|00ce6b85234255ea|IBM-v9000-600507680C80817DF|8000000000001AF |datavg02 |
|hdisk854|524288|00ce6b8523427ab3|IBM-v9000-600507680C80817DF|8000000000001B0 |datavg03 |
|hdisk855|524288|00ce6b8523427b71|IBM-v9000-600507680C80817DF|8000000000001B1 |datavg03 |
|hdisk856|524288|00ce6b8523427c2d|IBM-v9000-600507680C80817DF|8000000000001B2 |datavg03 |
|hdisk857|524288|00ce6b8523427ce1|IBM-v9000-600507680C80817DF|8000000000001B3 |datavg03 |
|hdisk858|524288|00ce6b8523427d98|IBM-v9000-600507680C80817DF|8000000000001B4 |datavg03 |
|hdisk859|524288|00ce6b8523427e60|IBM-v9000-600507680C80817DF|8000000000001B5 |datavg03 |
|hdisk860|524288|00ce6b8523427f23|IBM-v9000-600507680C80817DF|8000000000001B6 |datavg03 |
|hdisk861|524288|00ce6b8523422161|IBM-v9000-600507680C80817DF|8000000000001B7 |datavg01 |
|hdisk862|524288|00ce6b852342220d|IBM-v9000-600507680C80817DF|8000000000001B8 |datavg01 |
|hdisk863|524288|00ce6b8523427fec|IBM-v9000-600507680C80817DF|8000000000001B9 |datavg03 |

