^Managed System SN^Managed System Rack Panel#^HMC Switch Name^HMC Switch Port#^Private Subnet^
|tgprhmc5|U2.5-5|ITCSWHMC1|1|192.168|
|tgprhmc6|U3.1-11|ITCSWHMC2|7|10.0.0.1|
|Server-8284-22A-SN214BB7V|U3.1-1|ITCSWHMC1|2|192.168.128.1|
|Server-8284-22A-SN214BB7V|U3.1-2|ITCSWHMC2|2|10.0.0.1|
|Server-8284-22A-SN215D22V|U3.1.3|ITCSWHMC1|3|192.168.128.1|
|Server-8284-22A-SN215D22V|U3.1.4|ITCSWHMC2|3|10.0.0.1|
|Server-8284-22A-SN215D24V|U3.1.5|ITCSWHMC1|4|192.168.128.1|
|Server-8284-22A-SN215D24V|U3.1.6|ITCSWHMC2|4|10.0.0.1|
|Server-9117-MMD-SN109F3A0|U3.1.7|ITCSWHMC1|5|192.168.128.1|
|Server-9117-MMD-SN109F3A0|U3.1.8|ITCSWHMC2|5|10.0.0.1|
|Server-9117-MMD-SN109F3A0|U3.1.9|ITCSWHMC1|6|1192.168.128.1|
|Server-9117-MMD-SN109F3A0|U3.1.10|ITCSWHMC2|6|10.0.0.1|
|Server-8284-22A-SN847584V|U3.2.15|ITCSWHMC1|8|192.168.128.1|
|Server-8284-22A-SN847584V|U3.2.16|ITCSWHMC2|8|10.0.0.1|
|Server-8284-22A-SN847585V|U3.2.13|ITCSWHMC1|7|192.168.128.1|
|Server-8284-22A-SN847585V|U3.2.14|ITCSWHMC2|8|10.0.0.1|
|Server-8247-21L-SN211F72A|U3.2.17|ITCSWHMC2|9|10.0.0.1|
|Server-8247-21L-SN211F72A|U3.2.18|ITCSWHMC2|10| |
|ETS-9179-MHB-SN06E6B85|U5.3.26|ITCSWHMC1|10| |
|ETS-9179-MHB-SN06E6B85|U5.3.27|ITCSWHMC2|11| |
|ETS-9179-MHB-SN06E6B85|U5.3.28|ITCSWHMC1|11| |
|ETS-9179-MHB-SN06E6B85|U5.3.29|ITCSWHMC2|12| |

