====== PT Storage Team Equipment's Inventory ======

^Country^Location    ^Site ID ^Device   Type^Make   ^Model        ^Firmware       ^Firmware Version^S/N            ^Hostname / Console               ^IP             ^Admin Account^Local Contact                                                           ^Install Date^Support Provider^Notes                                    ^
|USA    |ELk Grove   |CDC     |Storage array|Pure   |Pure X50     |Purity |5.3.13          |a6eba101-800b-4893-888f-3a81297e75b3 |https://taprpur001.pt.int.tenneco.com              |10.131.10.81  |AD Account     | Leeds/Hill                                             |XX/XX/XX    |Pure            |                                         |
|USA    |ELk Grove   |CDC     |Storage array|Pure   |Pure FlashBlade |Purity/FB         |3.1.6           |523d4602-ef73-458b-bea4-a13d1c2f9e6f |https://taprpur002.pt.int.tenneco.com              |10.131.10.94   |AD      | Leeds/Hill                                                        |XX/XX/XX    |Pure            |                                         |
|USA    |ELk Grove   |CDC     |Storage array|Pure   |Pure X50     |Purity |5.3.13          |	388f9032-4cca-4501-a95c-f59dd62da769 |https://taprpur003.pt.int.tenneco.com              |10.131.10.113  |AD Account     | Leeds/Hill                                             |XX/XX/XX    |Pure            |                                         |
|USA    |ELk Grove   |CDC     |Storage array|Hitachi|VSP G800/CDCPILNS008     |83-05-37-60/00       |N/A             |441548         |https://10.131.10.27/dev/storage/836000441548/emergency.do             |10.131.10.27   |maintenance  |Leeds/Hill                                                        |XX/XX/XX    |Curvature |                                         |
|USA    |ELk Grove   |CDC     |Storage array|Hitachi|VSP F1500/CDCPILNS015     |80-06-82-00/00       |N/A             |20514        |http://10.131.10.65/sanproject/emergency.do               |10.131.10.65|maintenance  |Leeds/Hill                                                        |XX/XX/XX    |HDS             |                                         |
|USA    |ELk Grove   |CDC     |Storage array|Hitachi|VSP G200/CDCPILNS005     |83-05-40-20/00       |N/A             |460071         |https://10.131.10.12/dev/storage/832000460071/emergency.do             |10.131.10.12|maintenance  |Leeds/Hill                                                        |XX/XX/XX    |Curvature | Contact Service Express for support |
|USA    |ELk Grove   |CDC     |Storage array|Hitachi|VSP G200/CDCPILNS019     |83-05-40-20/00       |N/A             |460410         |https://10.131.10.69/dev/storage/832000460410/emergency.do              |10.131.10.69|maintenance  |Leeds/Hill                                                        |XX/XX/XX    |HDS             |                                         |
|USA    |ELk Grove   |CDC     |Storage array|Hitachi|VSP G350/CDCPILNS023     |88-07-02-20/01       |N/A             |440489         |https://10.131.10.97/dev/storage/882000460489/emergency.do\\  http://10.131.10.98/StorageAdvisorEmbedded/#/login             |10.131.10.97|maintenance  |Leeds/Hill                                                        |XX/XX/XX    |HDS             |                                         |
|USA    |Elk Grove,IL|CDC     |FC switch    |Cisco  |MDS-9513     |MDS 9000 SAN-OS|6.2 (17)       |FOX1449GY6R    |ussdcxswisan-001.federalmogul.com |134.238.139.180|storage     |Leeds/Hill                                                        |XX/XX/XX    |Hitachi       |                                         |
|USA    |Elk Grove,IL|CDC     |FC switch    |Cisco  |MDS-9513     |MDS 9000 SAN-OS|6.2 (17)       |FOX1450GBY4    |ussdcxswisan-002.federalmogul.com |134.238.139.182|storage     |Leeds/Hill                                                        |XX/XX/XX    |Hitachi       |                                         |
|USA    |Elk Grove,IL|CDC     |FC switch    |Cisco  |MDS-9706     |MDS 9000 SAN-OS|8.4(1)       |FXS2317Q023 |uscdcpswisan003.pt.int.tenneco.com |10.131.10.128|storage     |Leeds/Hill                                                        |04/08/2021    |Hitachi       |                                         |
