^Country^City            ^Device Type  ^Manufacturer^Model       ^Serial No     ^Local IT contacts                             ^Install date^Maint. Upto^Support  ^Support - Phone^Support Email / Web                ^Contract No:                 ^Other details                        ^
|USA    |Lincolnshire    |Storage array|IBM         |IBM V9000   |78BD160       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|10/13/2015 |10/12/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848. Cust. No : 0760643|
|USA    |Lincolnshire    |FC Switch    |IBM         |IBM 2498-B24|10408PK       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|10/13/2015 |10/12/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848. Cust. No : 0760643|
|USA    |Lincolnshire    |FC Switch    |IBM         |IBM 2498-B24|10408WM       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|10/13/2015 |10/12/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848. Cust. No : 0760643|
|USA    |Lincolnshire    |Storage array|IBM         |IBM V9000   |78BF751       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|02/24/2017 |02/23/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848.                   |
|USA    |Lincolnshire    |FC Switch    |IBM         |IBM 2498-B48|10533NM       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|02/24/2017 |02/23/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848.                   |
|USA    |Lincolnshire    |FC Switch    |IBM         |IBM 2498-B48|10533ND       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|02/24/2017 |02/23/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848.                   |
|USA    |Lincolnshire    |Storage array|EMC         |VMAX 10K    |198700301     |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/27/2012 |12/31/2017 |IBM      |+1-800-344-0237|emcsupport@cds.net,dispatch@cds.net|AQBFBD / A4CWH3              |                                     |
|USA    |Lincolnshire    |Storage array|EMC         |VNX5300     |APM00125129684|Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/27/2012 |12/31/2018 |IBM      |+1-800-344-0237|emcsupport@cds.net,dispatch@cds.net|AQBFBD / A4CWH3              |Hardware only                        |
|USA    |Lincolnshire    |FC switch    |EMC         |DS5300B     |BRCAHX2550H015|Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/27/2012 |12/31/2018 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Lincolnshire    |FC switch    |EMC         |DS5300B     |BRCAHX2550H01K|Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/27/2012 |12/31/2018 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Lincolnshire    |Storage array|EMC         |DMX-4       |HK190103339   |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/31/2010 |12/31/2018 |IBM      |+1-800-344-0237|emcsupport@cds.net,dispatch@cds.net|AQBFBD / A4CWH3              |Hardware only                        |
