|Array Name|Server Name|WWN|IQN|Host Group|
|inxpm20v1|dehrap01|C0507606104D0038/C0507606104D003A/C0507606104D003C/C0507606104D003E|||
|inxpm20v1|dehrap98|C0507606104E0048/C0507606104E004A/C0507606104E004C/C0507606104E004E||dehrap00|
|inxpm20v1|dehrap99|C0507606104D0030/C0507606104D0032/C0507606104D0034/C0507606104D0036||dehrap00|
|inxpm20v1|dehrdb98|C0507606104D0028/C0507606104D002A/C0507606104D002C/C0507606104D002E|||
|inxpm20v1|dehrdb99|C0507606104E0040/C0507606104E0042/C0507606104E0044/C0507606104E0046|||
|inxpm20v1|inxnbu5300amd|21000024FF53F88A/21000024FF53F88B||vmwares|
|inxpm20v1|mock1-vmware||||
|inxpm20v1|pehrap01|C0507606104D0010/C0507606104D0012/C0507606104D0014/C0507606104D0016|||
|inxpm20v1|pehrap98|C0507606104E00C0/C0507606104E00C2/C0507606104E00C4/C0507606104E00C6||pehrap00|
|inxpm20v1|pehrap99|C0507606104D0008/C0507606104D000A/C0507606104D000C/C0507606104D000E||pehrap00|
|inxpm20v1|pehrdb98|C0507606104E00C8/C0507606104E00CA/C0507606104E00CC/C0507606104E00CE|||
|inxpm20v1|pehrdb99|C0507606104D0000/C0507606104D0002/C0507606104D0004/C0507606104D0006|||
|inxpm20v1|penmsv01|C0507606104E00B0/C0507606104E00B2/C0507606104E00B4/C0507606104E00B6|||
|inxpm20v1|pgsmdb01|C0507606104E00B8/C0507606104E00BA/C0507606104E00BC/C0507606104E00BE|||
|inxpm20v1|pocpuresv01|C0507606104E00D0/C0507606104E00D2/C0507606104E00D4/C0507606104E00D6|||
|inxpm20v1|pocpuresv02|C0507606104E00D8/C0507606104E00DA/C0507606104E00DC/C0507606104E00DE|||
|inxpm20v1|pocpuresv03|C0507606104E00E0/C0507606104E00E2/C0507606104E00E4/C0507606104E00E6|||
|inxpm20v1|pocpuresv04|C0507606104E00E8/C0507606104E00EA/C0507606104E00EC/C0507606104E00EE|||
|inxpm20v1|qehrap01|C0507606104D0020/C0507606104D0022/C0507606104D0024/C0507606104D0026|||
|inxpm20v1|qehrdb01|C0507606104D0018/C0507606104D001A/C0507606104D001C/C0507606104D001E|||
|inxpm20v1|sehrdb01new|C0507606104E00F0/C0507606104E00F2/C0507606104E00F4/C0507606104E00F6|||
|inxpm20v1|taitc254|10000000C9A5136C/10000000C9A5136D|||
|inxpm20v1|taitc360|50014380296CCCB0/50014380296CCCB2||vmwares|
|inxpm20v1|taitc361|50014380296C6FBC/50014380296C6FBE||vmwares|
|inxpm20v1|taitc362|10000000C9DC2982/10000000C9DC2983||vmwares|
|inxpm20v1|taitc363|5001438031812CEC/5001438031812CEE||vmwares|
|inxpm20v1|taitc364|10001C98EC0AAA76/10001C98EC0AAA77||vmwares|
|inxpm20v1|taitc365|1000E0071BD3D45A/1000E0071BD3D45B||vmwares|
|inxpm20v1|taitc380|51402EC0017ACDD8/51402EC0017ACEB4||dmzvmwares|
|inxpm20v1|taitc381|51402EC0017ACE20/51402EC0017ACE88||dmzvmwares|
|inxpm20v1|teprvio10|10000090FA0AF014/10000090FA0AF0E2||teprvio10-11|
|inxpm20v1|teprvio11|10000090FA0AEEF4/10000090FA0AF17C||teprvio10-11|
|inxpm20v1|teprvio20|10000090FA0A5CA6/10000090FA0AF12C||teprvio20-21|
|inxpm20v1|teprvio21|10000090FA0AEEC2/10000090FA0AF000||teprvio20-21|
|ldcpm20v1|tgpretl1|C0507606CF0C00AA/C0507606CF0C00AB/C0507606CF0C00AC/C0507606CF0C00AD|||
