======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Wed Jan 15 02:10:01 CST 2020

|Server|SSL Level|SSH Level|
|ITCLAP01.na.ten|1.0.2o|7.5p1|
|TEDV2D01|1.0.2o|7.5p1|
|TEPR2E01|1.0.2o|7.5p1|
|atlasdr|1.0.2o|7.5p1|
|daap3p01|1.0.2o|7.5p1|
|dadbws01|1.0.2o|7.5p1|
|daerap01h|1.0.2o|7.5p1|
|daerap98|1.0.2o|7.5p1|
|daerap99|1.0.2o|7.5p1|
|daerdb98|1.0.2o|7.5p1|
|daerdb99|1.0.2o|7.5p1|
|dafoap01|1.0.2o|7.5p1|
|dafodb01|1.0.2o|7.5p1|
|dagi3p01|1.0.2o|7.5p1|
|dahydb02|1.0.2o|7.5p1|
|deerap01h|1.0.2o|7.5p1|
|deerap98|1.0.2o|7.5p1|
|deerap99|1.0.2o|7.5p1|
|deerdb98|1.0.2o|7.5p1|
|deerdb99|1.0.2o|7.5p1|
|dehrap01|1.0.2o|7.5p1|
|dehrap98|1.0.2o|7.5p1|
|dehrap99|1.0.2o|7.5p1|
|dehrdb98|1.0.2o|7.5p1|
|dehrdb99|1.0.2o|7.5p1|
|dgaidb01|1.0.2o|7.5p1|
|dgasdb01|1.0.2o|7.5p1|
|dgbcdb01|1.0.2o|7.5p1|
|dggpdb01|1.0.2o|7.5p1|
|dggtdb01|1.0.2o|7.5p1|
|dggwdb01|1.0.2o|7.5p1|
|dgimdb01|1.0.2o|7.5p1|
|dgjbdb01|1.0.2o|7.5p1|
|dgomcn01|1.0.2o|7.5p1|
|dgomdb01|1.0.2o|7.5p1|
|dgomdp01|1.0.2o|7.5p1|
|dgomgw01|1.0.2o|7.5p1|
|dgrmdb01|1.0.2o|7.5p1|
|dgscdb01|1.0.2o|7.5p1|
|dgsmap00h|1.0.2o|7.5p1|
|dgsmha01h|1.0.2o|7.5p1|
|dgsndb01|1.0.2o|7.5p1|
|dgsoap01h|1.0.2o|7.5p1|
|dgsodb01|1.0.2o|7.5p1|
|ftp1|1.0.2o|7.5p1|
|itcad001|1.0.2o|7.5p1|
|itcap001|1.0.2o|7.5p1|
|mognbuhmams|1.0.2o|7.5p1|
|munnbuhmams|1.0.2o|7.5p1|
|ns1|1.0.2o|7.5p1|
|ns2|1.0.2o|7.5p1|
|paap3p01|1.0.2o|7.5p1|
|paarfs01|1.0.2o|7.5p1|
|pablsv02|1.0.2o|7.5p1|
|pablsv03|1.0.2o|7.5p1|
|padbws01|1.0.2o|7.5p1|
|paerap01h|1.0.2o|7.5p1|
|paerap02h|1.0.2o|7.5p1|
|paerap03h|1.0.2o|7.5p1|
|paerap04h|1.0.2o|7.5p1|
|paerap05h|1.0.2o|7.5p1|
|paerap98|1.0.2o|7.5p1|
|paerap99|1.0.2o|7.5p1|
|paerdb98|1.0.2o|7.5p1|
|paerdb99|1.0.2o|7.5p1|
|pafoap01|1.0.2o|7.5p1|
|pafoap02|1.0.2o|7.5p1|
|pafodb01|1.0.2o|7.5p1|
|paft3p01|1.0.2o|7.5p1|
|paft3p02|1.0.2o|7.5p1|
|pagi3p01|1.0.2o|7.5p1|
|pahydb02|1.0.2o|7.5p1|
|paitap01|1.0.2o|7.5p1|
|pcdcstglxap01.driv.com|1.0.2o|7.5p1|
|pearfs01|1.0.2o|7.5p1|
|peerap01h|1.0.2o|7.5p1|
|peerap02h|1.0.2o|7.5p1|
|peerap03h|1.0.2o|7.5p1|
|peerap04h|1.0.2o|7.5p1|
|peerap05h|1.0.2o|7.5p1|
|peerap06h|1.0.2o|7.5p1|
|peerap07h|1.0.2o|7.5p1|
|peerap08h|1.0.2o|7.5p1|
|peerap98|1.0.2o|7.5p1|
|peerap99|1.0.2o|7.5p1|
|peerdb98|1.0.2o|7.5p1|
|peerdb99|1.0.2o|7.5p1|
|pehrap01|1.0.2o|7.5p1|
|pehrap98|1.0.2o|7.5p1|
|pehrap99|1.0.2o|7.5p1|
|pehrdb98|1.0.2o|7.5p1|
|pehrdb99|1.0.2o|7.5p1|
|penmsv01|1.0.2o|7.5p1|
|petxap01|1.0.2o|7.5p1|
|pgadap01|1.0.2o|7.5p1|
|pgaidb01|1.0.2o|7.5p1|
|pgasdb01|1.0.2o|7.5p1|
|pgbcdb98|1.0.2o|7.5p1|
|pgbcdb99|1.0.2o|7.5p1|
|pgdmr055|1.0.2o|7.5p1|
|pgdmr057|1.0.2o|7.5p1|
|pggpap01h|1.0.2o|7.5p1|
|pggpdb01|1.0.2o|7.5p1|
|pggtdb01|1.0.2o|7.5p1|
|pggwdb01|1.0.2o|7.5p1|
|pgimdb01|1.0.2o|7.5p1|
