======                            IBM AIX SSL & SSh levels - lslpp format                                 ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of this report  Wed Jan 15 02:00:00 CST 2020

|Server|SSL Level|SSH Level|
|TEDV2D01|1.0.2.1300|7.5.102.1100|
|TEPR2E01|1.0.2.1300|7.5.102.1100|
|atlasdr|||
|daap3p01|1.0.2.1300|7.5.102.1100|
|daerap98|1.0.2.1300|7.5.102.1100|
|daerap99|1.0.2.1300|7.5.102.1100|
|daerdb98|1.0.2.1300|7.5.102.1100|
|daerdb99|1.0.2.1300|7.5.102.1100|
|dafoap01|1.0.2.1300|7.5.102.1100|
|dafodb01|1.0.2.1300|7.5.102.1100|
|dagi3p01|1.0.2.1300|7.5.102.1100|
|dahydb02|1.0.2.1300|7.5.102.1100|
|deerap98|1.0.2.1300|7.5.102.1100|
|deerap99|1.0.2.1300|7.5.102.1100|
|deerdb98|1.0.2.1300|7.5.102.1100|
|deerdb99|1.0.2.1300|7.5.102.1100|
|dehrap01|1.0.2.1300|7.5.102.1100|
|dehrap98|1.0.2.1300|7.5.102.1100|
|dehrap99|1.0.2.1300|7.5.102.1100|
|dehrdb98|1.0.2.1300|7.5.102.1100|
|dehrdb99|1.0.2.1300|7.5.102.1100|
|dgaidb01|1.0.2.1300|7.5.102.1100|
|dgasdb01|1.0.2.1300|7.5.102.1100|
|dgbcdb01|1.0.2.1300|7.5.102.1100|
|dggpdb01|1.0.2.1300|7.5.102.1100|
|dggtdb01|1.0.2.1300|7.5.102.1100|
|dggwdb01|1.0.2.1300|7.5.102.1100|
|dgimdb01|1.0.2.1300|7.5.102.1100|
|dgjbdb01|1.0.2.1300|7.5.102.1100|
|dgomdb01|1.0.2.1300|7.5.102.1100|
|dgrmdb01|1.0.2.1300|7.5.102.1100|
|dgscdb01|1.0.2.1300|7.5.102.1100|
|dgsndb01|1.0.2.1300|7.5.102.1100|
|dgsodb01|1.0.2.1300|7.5.102.1100|
|ftp1|1.0.2.1500|7.5.102.1500|
|itcad001|1.0.2.1300|7.5.102.1100|
|itcap001|1.0.2.1300|7.5.102.1100|
|paap3p01|1.0.2.1300|7.5.102.1100|
|paarfs01|1.0.2.1300|7.5.102.1100|
|paerap98|1.0.2.1300|7.5.102.1100|
|paerap99|1.0.2.1300|7.5.102.1100|
|paerdb98|1.0.2.1300|7.5.102.1100|
|paerdb99|1.0.2.1300|7.5.102.1100|
|pafoap01|1.0.2.1300|7.5.102.1100|
|pafoap02|1.0.2.1300|7.5.102.1100|
|pafodb01|1.0.2.1300|7.5.102.1100|
|paft3p01|1.0.2.1300|7.5.102.1100|
|paft3p02|1.0.2.1300|7.5.102.1100|
|pagi3p01|1.0.2.1300|7.5.102.1100|
|pahydb02|1.0.2.1300|7.5.102.1100|
|pearfs01|1.0.2.1300|7.5.102.1100|
|peerap98|1.0.2.1300|7.5.102.1100|
|peerap99|1.0.2.1300|7.5.102.1100|
|peerdb98|1.0.2.1300|7.5.102.1100|
|peerdb99|1.0.2.1300|7.5.102.1100|
|pehrap01|1.0.2.1300|7.5.102.1100|
|pehrap98|1.0.2.1300|7.5.102.1100|
|pehrap99|1.0.2.1300|7.5.102.1100|
|pehrdb98|1.0.2.1300|7.5.102.1100|
|pehrdb99|1.0.2.1300|7.1.102.1100|
|penmsv01|||
|pgadap01|1.0.2.1300|7.5.102.1100|
|pgaidb01|1.0.2.1300|7.5.102.1100|
|pgasdb01|1.0.2.1300|7.5.102.1100|
|pgbcdb98|1.0.2.1300|7.5.102.1100|
|pgbcdb99|1.0.2.1300|7.5.102.1100|
|pgdmr055|1.0.2.1300|7.5.102.1100|
|pgdmr057|1.0.2.1300|7.5.102.1100|
|pggpdb01|1.0.2.1300|7.5.102.1100|
|pggtdb01|1.0.2.1300|7.5.102.1100|
|pggwdb01|1.0.2.1300|7.5.102.1100|
|pgimdb01|1.0.2.1300|7.5.102.1100|
|pgjbdb01|1.0.2.1300|7.5.102.1100|
|pgnmsv01|1.0.2.1500|7.5.102.1500|
|pgomdb01|1.0.2.1300|7.5.102.1100|
|pgrmdb01|1.0.2.1300|7.5.102.1100|
|pgscdb01|||
|pgsnap01|1.0.2.1500|7.5.102.1500|
|pgsnap02|1.0.2.1500|7.5.102.1500|
|pgsnap03|1.0.2.1500|7.5.102.1500|
|pgsndb01|1.0.2.1500|7.5.102.1500|
|pgsodb01|1.0.2.1300|7.5.102.1100|
|pgsodb02|1.0.2.1300|7.5.102.1100|
|phlytaprvio170|||
|phlytaprvio171|||
|pocafasv01|||
|pocafasv02|||
|pocafasv03|||
|pocafasv04|||
|pocafasv05|1.0.2.1300|7.5.102.1100|
|pocafasv06|1.0.2.1300|7.5.102.1100|
|pocafasv07|1.0.2.1300|7.5.102.1100|
|pocafasv08|1.0.2.1300|7.5.102.1100|
|pocpuresv01|1.0.2.1300|7.5.102.1100|
|qaap3p01|1.0.2.1300|7.5.102.1100|
|qaerdb01|1.0.2.1300|7.5.102.1100|
|qamesd01|1.0.2.1300|7.5.102.1100|
|qamesd02|1.0.2.1300|7.5.102.1100|
|qehrap01|1.0.2.1300|7.5.102.1100|
|qehrdb01|1.0.2.1300|7.5.102.1100|
|qgaidb01|1.0.2.1300|7.5.102.1100|
|qgbcdb01|1.0.2.1300|7.5.102.1100|
|qggpdb01|1.0.2.1300|7.5.102.1100|
|qggtdb01|1.0.2.1300|7.5.102.1100|
|qggwdb01|1.0.2.1300|7.5.102.1100|
|qgimdb01|1.0.2.1300|7.5.102.1100|
|qgjbdb01|1.0.2.1300|7.5.102.1100|
|qgrmdb01|1.0.2.1300|7.5.102.1100|
|qgscdb01|1.0.2.1300|7.5.102.1100|
|qgsnap01|1.0.2.1300|7.5.102.1100|
|qgsndb01|1.0.2.1300|7.5.102.1100|
|qgsodb01|1.0.2.1300|7.5.102.1100|
|qgsodb02|1.0.2.1300|7.5.102.1100|
|saerdb01|1.0.2.1300|7.5.102.1100|
|safoap01|1.0.2.1300|7.5.102.1100|
|sehrdb01|1.0.2.1300|7.5.102.1100|
|sggpdb01|1.0.2.1300|7.5.102.1100|
|sggtdb01|1.0.2.1300|7.5.102.1100|
|sgimdb01|1.0.2.1300|7.5.102.1100|
|sgscdb01|1.0.2.1300|7.5.102.1100|
|taede055|1.0.2.1300|7.5.102.1100|
|taede651|1.0.2.1300|7.5.102.1100|
|taede652|1.0.2.1300|7.5.102.1100|
|taestr006|||
|taglk055|1.0.2.1300|7.5.102.1100|
|taglk057|1.0.2.1300|7.5.102.1100|
|taglknim1|1.0.2.1300|7.5.102.1100|
|taglkvio1|1.0.2.1300|7.5.102.1100|
|taglkvio2|1.0.2.1300|7.5.102.1100|
|taitc058|1.0.2.1300|7.5.102.1100|
|taitc102|1.0.2.1300|7.5.102.1100|
|taitc103|1.0.2.1300|7.5.102.1100|
|taitc111|1.0.2.1300|7.5.102.1100|
|taitc118|||
|taitc121|1.0.2.1300|7.5.102.1100|
|taitc122|1.0.2.1300|7.5.102.1100|
|tamon055|1.0.2.1300|7.5.102.1100|
|tamon057|1.0.2.1300|7.5.102.1100|
|tamonnim1|1.0.2.1300|7.1.102.1100|
|tamonvio1|1.0.2.1300|7.5.102.1100|
|tamonvio2|1.0.2.1300|7.5.102.1100|
|taprvio100|1.0.2.1500|7.5.102.1500|
|taprvio101|1.0.2.1500|7.5.102.1500|
|taprvio110|1.0.2.1500|7.5.102.1500|
|taprvio111|1.0.2.1500|7.5.102.1500|
|taprvio120|1.0.2.1500|7.5.102.1500|
|taprvio121|1.0.2.1500|7.5.102.1500|
|taprvio130|1.0.2.1500|7.5.102.1500|
|taprvio131|1.0.2.1500|7.5.102.1500|
|taprvio140|||
|taprvio141|||
|taprvio150|1.0.2.1500|7.5.102.1500|
|taprvio151|1.0.2.1500|7.5.102.1500|
|taprvio160|||
|taprvio161|||
|taprvio170|1.0.2.1500|7.5.102.1500|
|taprvio171|1.0.2.1500|7.5.102.1500|
|taprvio180|1.0.2.1500|7.5.102.1500|
|taprvio181|1.0.2.1500|7.5.102.1500|
|taprvio50|||
|taprvio51|||
|taprvio80|||
|taprvio81|||
|taprvio90|||
|taprvio91|||
|taqa1d01|||
|tasew007|1.0.2.1300|7.5.102.1100|
|tasew008|1.0.2.1300|7.5.102.1100|
|tedv2d03|1.0.2.1300|7.5.102.1100|
|tedv2d03|1.0.2.1300|7.5.102.1100|
|tedv2e01|1.0.2.1300|7.5.102.1100|
|teprvio10|1.0.2.1300|7.5.102.1100|
|teprvio11|1.0.2.1300|7.5.102.1100|
|teprvio20|1.0.2.1300|7.5.102.1100|
|teprvio21|1.0.2.1300|7.5.102.1100|
|tndv3d01|1.0.2.1300|7.5.102.1100|
|tnpr3d01|1.0.2.1300|7.5.102.1100|
|tnqa3d01|1.0.2.1300|7.5.102.1100|
|tsdv1d01|1.0.2.1300|7.5.102.1100|
|tsdv1d02|1.0.2.1300|7.5.102.1100|
|tspr1d01|1.0.2.1300|7.5.102.1100|
|tspr1d02|1.0.2.1300|7.5.102.1100|
|tsqa1d01|1.0.2.1300|7.5.102.1100|
|tsqa1d02|1.0.2.1300|7.5.102.1100|
|tssb1d01|1.0.2.1300|7.5.102.1100|
|xftp1|||
|xggpdb01|1.0.2.1300|7.5.102.1100|
