======                            IBM AIX SSL & SSh levels (ssh -V format)                                  ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of thise report  Mon Aug 21 02:13:57 CDT 2023

|Server|SSL Level|SSH Level|
|acdcapwaxdb01|to||
|acdchp1axdb01|to||
|acdcptaaxci01|to||
|acdcptaaxdb01|to||
|acdcrp1axdb01|to||
|acdcrp2axdb01|to||
|acdcta2axci01|to||
|acdcta2axdb01|to||
|cdcvilax019|1.0.2u|8.1p1|
|cdcvilax020|1.0.2u|8.1p1|
|cdcvilax021|1.0.2u|8.1p1|
|cdcvilax022|1.0.2u|8.1p1|
|cdcvilax025|1.0.1j|6.7p1|
|cdcvilax027|1.0.2u|8.1p1|
|cdcvilax045|1.0.1j|6.7p1|
|cdcvilax046|1.0.2u|8.1p1|
|cdcvilax054|OpenSSH_8.1p1,||
|cdcvilax057|1.0.1j|6.7p1|
|cdcvilax100|OpenSSL||
|cdcvilax108|OpenSSH_8.1p1,||
|cdcvilax118|1.0.2u|8.1p1|
|cdcvilax120|1.0.2t|7.5p1|
|cdcvilax129|1.0.2u|7.5p1|
|cdcvilpv061|OpenSSH_8.1p1,||
|cdcvilpv064|1.0.2u|8.1p1|
|cdcvilpv065|1.0.2o|7.5p1|
|cdcvilpv066|1.0.2o|7.5p1|
|cdcvilpv067|1.0.2t|7.5p1|
|cdcvilpv068|1.0.2t|7.5p1|
|cdcvilpv069|1.0.2t|7.5p1|
|cdcvilpv070|1.0.2t|7.5p1|
|cdcvilpv071|1.0.2u|8.1p1|
|cdcvilpv072|1.0.2u|8.1p1|
|cdcvilpv073|1.0.2u|8.1p1|
|cdcvilpv074|1.0.2u|8.1p1|
|cdcvilpv075|1.0.2u|8.1p1|
|cdcvilpv076|1.0.2u|8.1p1|
|cdcvilpv077|1.0.2u|8.1p1|
|cdcvilpv078|1.0.2t|7.5p1|
|cdcvilpv079|1.0.2t|7.5p1|
|cdcvilpv080|1.0.2t|7.5p1|
|cdcvilpv081|1.0.2t|7.5p1|
