===== Disks disks on pafodb01 =====

^Disk^Size(MB)^PVID^Array S/N^LUN^VG/VGID^
|hdisk9|104448|00ce6b859135b49a|PURE-FLASH-A6EBA101800B4893|000F10A7 |datavg01 |
|hdisk10|104448|00ce6b859135b1ae|PURE-FLASH-A6EBA101800B4893|000F10A8 |datavg01 |
|hdisk11|104448|00ce6b859135aed9|PURE-FLASH-A6EBA101800B4893|000F10A9 |datavg01 |
|hdisk12|104448|00ce6b859135abeb|PURE-FLASH-A6EBA101800B4893|000F10AA |datavg01 |
|hdisk13|104448|00ce6b859135a90f|PURE-FLASH-A6EBA101800B4893|000F10AB |datavg01 |
|hdisk14|104448|00ce6b859135a62e|PURE-FLASH-A6EBA101800B4893|000F10AC |datavg01 |
|hdisk15|104448|00ce6b859135a2f6|PURE-FLASH-A6EBA101800B4893|000F10AD |datavg01 |
|hdisk16|141312|00f97585c6997260|PURE-FLASH-A6EBA101800B4893|000F10AE |rootvg |
|hdisk17|141312|00f97585c6fbdf4a|PURE-FLASH-A6EBA101800B4893|000F1 |altinst_rootvg |
|hdisk63|104448|00f9f075af4a4751|PURE-FLASH-A6EBA101800B4893|00353D1B |datavg01 |
|hdisk6|102400|00f9f07589e01897|IBM-v9kv7k-638A95F22580015BC|80000000000003A |None |
|hdisk7|204800|00f9f07589e8ee2a|IBM-v9kv7k-638A95F22580015BC|80000000000003C |None |
|hdisk8|51200|00f9f07589f3eaf6|IBM-v9kv7k-638A95F22580015BC|80000000000003F |None |
|hdisk18|10240|00f9f07589f6bc86|IBM-v9kv7k-638A95F22580015BC|800000000000047 |None |
|hdisk19|10240|00f9f07589f81f51|IBM-v9kv7k-638A95F22580015BC|80000000000004A |None |
|hdisk20|10240|00f9f0758a00e5b1|IBM-v9kv7k-638A95F22580015BC|80000000000004E |None |
|hdisk21|768|00f9f0759956a5e9|IBM-v9kv7k-638A95F22580015BC|8000000000007E3 |None |
|hdisk22|768|00f9f07599569930|IBM-v9kv7k-638A95F22580015BC|8000000000007E4 |None |
|hdisk23|768|00f9f07599568c6e|IBM-v9kv7k-638A95F22580015BC|8000000000007E5 |None |
|hdisk24|768|00f9f07599567b33|IBM-v9kv7k-638A95F22580015BC|8000000000007E6 |None |
|hdisk25|768|00f9f07599566e46|IBM-v9kv7k-638A95F22580015BC|8000000000007E7 |None |
|hdisk26|768|00f9f0759956610b|IBM-v9kv7k-638A95F22580015BC|8000000000007E8 |None |
|hdisk27|768|00f9f07599565218|IBM-v9kv7k-638A95F22580015BC|8000000000007E9 |None |
|hdisk28|768|00f9f075995641e3|IBM-v9kv7k-638A95F22580015BC|8000000000007EA |None |
|hdisk29|768|00f9f07599563308|IBM-v9kv7k-638A95F22580015BC|8000000000007EB |None |
|hdisk30|768|00f9f07599562410|IBM-v9kv7k-638A95F22580015BC|8000000000007EC |None |
|hdisk31|768|00f9f075995615e5|IBM-v9kv7k-638A95F22580015BC|8000000000007ED |None |
|hdisk32|768|00f9f0759956076e|IBM-v9kv7k-638A95F22580015BC|8000000000007EE |None |
|hdisk33|612|00f9f0759955f9f6|IBM-v9kv7k-638A95F22580015BC|8000000000007EF |None |
|hdisk34|612|00f9f0759955eb46|IBM-v9kv7k-638A95F22580015BC|8000000000007F0 |None |
|hdisk35|612|00f9f0759955dc3d|IBM-v9kv7k-638A95F22580015BC|8000000000007F1 |None |
|hdisk36|612|00f9f0759955ccb2|IBM-v9kv7k-638A95F22580015BC|8000000000007F2 |None |
|hdisk37|768|00f9f0759955bd73|IBM-v9kv7k-638A95F22580015BC|8000000000007F3 |None |
|hdisk38|612|00f9f0759955ad84|IBM-v9kv7k-638A95F22580015BC|8000000000007F4 |None |
|hdisk39|612|00f9f07599559d88|IBM-v9kv7k-638A95F22580015BC|8000000000007F5 |None |
