======                            IBM AIX Editions 
       ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE
 NOW** ======

Date of this report  Thu Sep  9 18:18:58 CDT 2021

|Server|AIX Edition Level|OS Level|
|cdcvilax019|standard|7200-05-01-2038|
|cdcvilax020|standard|7200-05-01-2038|
|cdcvilax021|standard|7200-05-01-2038|
|cdcvilax022|standard|7200-05-01-2038|
|cdcvilax025|express|7100-05-07-2038|
|cdcvilax027|standard|7200-05-01-2038|
|cdcvilax045|express|7100-05-05-1937|
|cdcvilax046|standard|7200-05-01-2038|
|cdcvilax054|standard|7200-05-01-2038|
|cdcvilax055|standard|7200-05-01-2038|
|cdcvilax056|standard|7200-05-01-2038|
|cdcvilax057|express|7100-05-05-1937|
|cdcvilax100|express|7100-05-05-1939|
|cdcvilax101|express|7100-05-05-1939|
|cdcvilax108|standard|7200-05-01-2038|
|cdcvilax109|express|7100-05-07-2038|
|cdcvilax113|standard|7200-05-01-2038|
|cdcvilax118|enterprise|7200-05-01-2038|
|cdcvilax120|enterprise|7200-04-02-2028|
|cdcvilax122|enterprise|7200-05-01-2038|
|cdcvilax129|express|6100-09-07-1614|
|cdcvilpv055||7200-04-02-2016|
|cdcvilpv056||7200-04-02-2016|
|cdcvilpv057||7200-04-02-2016|
|cdcvilpv058||7200-04-02-2016|
|cdcvilpv059||7200-04-02-2016|
|cdcvilpv060||7200-04-02-2016|
|cdcvilpv061||7200-04-02-2016|
|cdcvilpv062||7200-04-02-2016|
|cdcvilpv063||7200-05-02-2114|
|cdcvilpv064||7200-05-02-2114|
|cdcvilpv065||6100-09-06-1543|
|cdcvilpv066||6100-09-06-1543|
|cdcvilpv067||7200-04-02-2016|
|cdcvilpv068||7200-04-02-2016|
|cdcvilpv069||7200-04-02-2016|
|cdcvilpv070||7200-04-02-2016|
|cdcvilpv071||7200-05-02-2114|
|cdcvilpv072||7200-05-02-2114|
|cdcvilpv073||7200-05-02-2114|
|cdcvilpv074||7200-05-02-2114|
|cdcvilpv075||7200-04-02-2016|
|cdcvilpv076||7200-04-02-2016|
|cdcvilpv077||7200-05-02-2114|
|cdcvilpv078||7200-04-02-2016|
|cdcvilpv079||7200-04-02-2016|
|cdcvilpv080||7200-04-02-2016|
|cdcvilpv081||7200-04-02-2016|
|cdcvilpv082||7200-04-02-2016|
|cdcvilpv083||7200-04-02-2016|
|cdcvilpv084||7200-04-02-2016|
|cdcvilpv085||7200-04-02-2016|
|cdcvilpv086||7200-04-02-2016|
|cdcvilpv087||7200-04-02-2016|
|cdcvilpv088||7200-04-02-2016|
|cdcvilpv089||7200-04-02-2016|
|cdcvilpv090||7200-04-02-2016|
|cdcvilpv091||7200-04-02-2016|
|cdcvilpv092||7200-04-02-2016|
|cdcvilpv093||6100-09-06-1543|
|cdcvilpv094||6100-09-06-1543|
|cdcvilpv095||6100-09-12-1846|
|cdcvilpv096||6100-09-12-1846|
|cdcvilpv097||6100-09-12-1846|
|cdcvilpv098||6100-09-12-1846|
|cdcvilpv099||7200-04-02-2016|
|cdcvilpv100||7200-04-02-2016|
|cdcvilpv102||7200-04-02-2016|
|cdcvilpv103||7200-04-02-2016|
|cdcvilpv104||7200-04-02-2016|
|cdcvilpv105||7200-04-02-2016|
|cdcvilpv106||7200-04-02-2016|
|cdcvilpv107|||
|cdcvilpv108||7200-04-02-2016|
|cdcvilpv109||7200-04-02-2016|
|cdcvilpv111||7200-04-02-2016|
|cdcvilpv112||7200-04-02-2016|
|cdcvilpv113||6100-09-12-1846|
|cdcvilpv114||6100-09-12-1846|
|cdcvilpv115||6100-09-12-1846|
|cdcvilpv116||6100-09-12-1846|
|cdcvilpv117||6100-09-12-1846|
|cdcvilpv118||6100-09-12-1846|
|cdcvilpv119||6100-09-12-1846|
|cdcvilpv120||6100-09-12-1846|
|cdcvilpv121||6100-09-12-1846|
|cdcvilpv122||6100-09-12-1846|
|cdcvilpv123||7200-05-02-2114|
|cdcvilpv124||7200-05-02-2114|
|dcdcbcpaxdb01|express|7100-05-05-1939|
|dcdcc11axap98|standard|7100-05-05-1939|
|dcdcc11axap99||7100-05-05-1939|
|dcdcc11axdb98||7100-05-05-1939|
|dcdcc11axdb99||7100-05-05-1939|
|dcdcctaaxap98|standard|7100-05-05-1939|
|dcdcctaaxap99|standard|7100-05-05-1939|
|dcdcctaaxdb98|standard|7100-05-05-1939|
|dcdcctaaxdb99|standard|7100-05-05-1939|
|dcdcdaiaxdb01|express|7100-05-05-1939|
|dcdcdasaxdb01|express|7100-05-05-1939|
|dcdcdepaxdb01|express|7100-05-02-1810|
|dcdcdgtaxdb01||7100-05-05-1939|
|dcdcdgwaxdb01|express|7100-05-05-1939|
|dcdcdimaxdb01|express|7100-05-07-2038|
|dcdcdjbaxdb01|express|7100-05-05-1939|
|dcdcdrmaxdb01|express|7100-05-05-1939|
|dcdcdscaxdb01|express|7100-05-05-1939|
|dcdcdsnaxdb01|express|7100-05-05-1939|
|dcdcdsoaxdb01|express|7100-05-05-1939|
|dcdcdsraxdb01|express|7100-05-05-1939|
|dcdcforaxap01|express|7100-05-02-1810|
|dcdcforaxdb01|express|7100-05-02-1810|
|dcdch1daxap01||7100-05-07-2038|
|dcdch1daxap98|express|7100-05-07-2038|
|dcdch1daxap99||7100-05-07-2038|
|dcdch1daxdb98|express|7100-05-07-2038|
|dcdch1daxdb99||7100-05-07-2038|
|dcdchypaxdb01|||
