======                            IBM AIX SSL & SSh levels - lslpp format                                 ======
====== **!!! WARNING !!! THIS INFORMATION IS FOR UNIX TEAM ONLY ALL OTHERS ARE TO REFERENCE SERVICE NOW** ======

Date of this report  Mon Aug 21 02:00:00 CDT 2023

|Server|SSL Level|SSH Level|
|acdcapwaxdb01|||
|acdchp1axdb01|||
|acdcptaaxci01|||
|acdcptaaxdb01|||
|acdcrp1axdb01|||
|acdcrp2axdb01|||
|acdcta2axci01|||
|acdcta2axdb01|||
|cdcvilax019|1.0.2.2104|8.1.102.2106|
|cdcvilax020|1.0.2.2104|8.1.102.2106|
|cdcvilax021|1.0.2.2104|8.1.102.2106|
|cdcvilax022|1.0.2.2104|8.1.102.2106|
|cdcvilax025||6.7.0.1|
|cdcvilax027|1.0.2.2104|8.1.102.2106|
|cdcvilax045||6.7.0.1|
|cdcvilax046|1.0.2.2104|6.7.0.1|
|cdcvilax054|1.0.2.2102|8.1.102.2104|
|cdcvilax055|1.0.2.2102|6.7.0.1|
|cdcvilax056|1.0.2.2104|6.7.0.1|
|cdcvilax057||6.7.0.1|
|cdcvilax100|1.0.2.2102|8.1.102.2104|
|cdcvilax101|1.0.2.2104|8.1.102.2106|
|cdcvilax108|1.0.2.2102|8.1.102.2104|
|cdcvilax109|1.0.2.2102|8.1.102.2104|
|cdcvilax113|1.0.2.2104|8.1.102.2106|
|cdcvilax118|3.0.5.101|8.1.102.2106|
|cdcvilax120|1.0.2.2002|7.5.102.1801|
|cdcvilax129|1.0.2.2103|7.5.102.1100|
|cdcvilpv061|1.0.2.2102|8.1.102.2104|
|cdcvilpv062|1.0.2.2102|8.1.102.2104|
|cdcvilpv063|1.0.2.2101|8.1.102.2102|
|cdcvilpv064|1.0.2.2101|8.1.102.2102|
|cdcvilpv065|1.0.2.1500|7.5.102.1500|
|cdcvilpv066|1.0.2.1500|7.5.102.1500|
|cdcvilpv067|1.0.2.2002|7.5.102.1801|
|cdcvilpv068|1.0.2.2002|7.5.102.1801|
|cdcvilpv069|1.0.2.2002|7.5.102.1801|
|cdcvilpv070|1.0.2.2002|7.5.102.1801|
|cdcvilpv071|1.0.2.2101|8.1.102.2102|
|cdcvilpv072|1.0.2.2101|8.1.102.2102|
|cdcvilpv073|1.0.2.2101|8.1.102.2102|
|cdcvilpv074|1.0.2.2101|8.1.102.2102|
|cdcvilpv075|1.0.2.2102|8.1.102.2104|
|cdcvilpv076|1.0.2.2102|8.1.102.2104|
|cdcvilpv077|1.0.2.2101|8.1.102.2102|
|cdcvilpv078|1.0.2.2002|7.5.102.1801|
|cdcvilpv079|1.0.2.2002|7.5.102.1801|
|cdcvilpv080|1.0.2.2002|7.5.102.1801|
|cdcvilpv081|1.0.2.2002|7.5.102.1801|
|cdcvilpv082|1.0.2.2002|7.5.102.1801|
|cdcvilpv083|1.0.2.2002|7.5.102.1801|
|cdcvilpv084|1.0.2.2002|7.5.102.1801|
|cdcvilpv085|1.0.2.2002|7.5.102.1801|
|cdcvilpv086|1.0.2.2002|7.5.102.1801|
|cdcvilpv087|1.0.2.2002|7.5.102.1801|
|cdcvilpv088|1.0.2.2002|7.5.102.1801|
|cdcvilpv089|1.0.2.2002|7.5.102.1801|
|cdcvilpv090|1.0.2.2002|7.5.102.1801|
|cdcvilpv091|1.0.2.2002|7.5.102.1801|
|cdcvilpv092|1.0.2.2002|7.5.102.1801|
|cdcvilpv093|1.0.2.1000|6.0.0.6201|
|cdcvilpv094|1.0.2.1000|6.0.0.6201|
|cdcvilpv095|1.0.2.1500|7.5.102.1500|
|cdcvilpv096|1.0.2.1500|7.5.102.1500|
|cdcvilpv097|1.0.2.1500|7.5.102.1500|
|cdcvilpv098|1.0.2.1500|7.5.102.1500|
|cdcvilpv099|1.0.2.2002|7.5.102.1801|
|cdcvilpv100|1.0.2.2002|7.5.102.1801|
|cdcvilpv108|1.0.2.2002|7.5.102.1801|
|cdcvilpv109|1.0.2.2002|7.5.102.1801|
|cdcvilpv111|1.0.2.2002|7.5.102.1801|
|cdcvilpv112|1.0.2.2002|7.5.102.1801|
|cdcvilpv113|1.0.2.1500|7.5.102.1500|
|cdcvilpv114|1.0.2.1500|7.5.102.1500|
|cdcvilpv115|1.0.2.1500|7.5.102.1500|
|cdcvilpv116|1.0.2.1500|7.5.102.1500|
|cdcvilpv117|1.0.2.1801|7.5.102.1801|
|cdcvilpv118|1.0.2.1801|7.5.102.1801|
|cdcvilpv119|1.0.2.1500|7.5.102.1500|
|cdcvilpv120|1.0.2.1500|7.5.102.1500|
|cdcvilpv121|1.0.2.1500|7.5.102.1500|
|cdcvilpv122|1.0.2.1500|7.5.102.1500|
|cdcvilpv123|1.0.2.2101|8.1.102.2102|
|cdcvilpv124|1.0.2.2101|8.1.102.2102|
|dcdcbcpaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcc11axap98|1.0.2.2104|8.1.102.2106|
|dcdcc11axap99|1.0.2.2104|8.1.102.2106|
|dcdcc11axdb98|1.0.2.2104|8.1.102.2106|
|dcdcc11axdb99|1.0.2.2104|8.1.102.2106|
|dcdcctaaxap98|1.0.2.2104|8.1.102.2106|
|dcdcctaaxap99|1.0.2.2104|8.1.102.2106|
|dcdcctaaxdb98|1.0.2.2104|8.1.102.2106|
|dcdcctaaxdb99|1.0.2.2104|8.1.102.2106|
|dcdcdasaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcdgtaxdb01|||
|dcdcdgwaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcdimaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcdjbaxdb01|||
|dcdcdrmaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcdscaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcdsnaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcdsoaxdb01|1.0.2.2102|8.1.102.2104|
|dcdcdsraxdb01|1.0.2.2104|8.1.102.2106|
|dcdcforaxap01|1.0.2.1300|7.5.102.1100|
|dcdcforaxdb01|1.0.2.2103|7.5.102.1100|
|dcdch1daxap01|1.0.2.2104|8.1.102.2106|
|dcdch1daxap98|1.0.2.2104|8.1.102.2106|
|dcdch1daxap99|1.0.2.2104|8.1.102.2106|
|dcdch1daxdb98|1.0.2.2104|8.1.102.2106|
|dcdch1daxdb99|1.0.2.2104|8.1.102.2106|
|dcdcmanaxdb01|1.0.2.1300|7.5.102.1100|
|dcdcpldaxdb01|1.0.2.2104|8.1.102.2106|
|dcdcsstaxdb01|||
|mrgprod1|1.0.2.1000|6.0.0.6201|
|pcdcbcpaxdb98|1.0.2.2104|8.1.102.2106|
|pcdcbcpaxdb99|1.0.2.2104|8.1.102.2106|
|pcdcbkpaxdm01|1.0.2.2104|8.1.102.2106|
|pcdcccsaxdb01|1.0.2.1300|7.5.102.1100|
|pcdceu3axap01|1.0.2.2104|8.1.102.2106|
|pcdcforaxap01|1.0.2.1300|7.5.102.1100|
|pcdcforaxap02|1.0.2.1300|7.5.102.1100|
|pcdcforaxdb01|1.0.2.1300|7.5.102.1100|
|pcdch1paxap01|1.0.2.2104|8.1.102.2106|
|pcdch1paxap98|1.0.2.2104|8.1.102.2106|
|pcdch1paxap99|1.0.2.2104|8.1.102.2106|
|pcdch1paxdb98|1.0.2.2104|8.1.102.2106|
|pcdch1paxdb99|1.0.2.2104|8.1.102.2106|
|pcdchypaxdb01|1.0.2.2100|8.1.102.2101|
|pcdcmanaxdb01|1.0.2.1300|7.5.102.1100|
|pcdcmksaxap01|1.0.2.2102|8.1.102.2104|
|pcdcmngaxdb01|1.0.2.2100|8.1.102.2101|
|pcdcna3axap01|1.0.2.2104|8.1.102.2106|
|pcdcpasaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcpgtaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcpgwaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcpimaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcpjbaxdb01|||
|pcdcplpaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcprmaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcps1axdb01|1.0.2.2104|8.1.102.2106|
|pcdcps2axdb01|1.0.2.2104|8.1.102.2106|
|pcdcpscaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcpsnaxap01|1.0.2.2104|8.1.102.2106|
|pcdcpsnaxap02|1.0.2.2104|8.1.102.2106|
|pcdcpsnaxap03|1.0.2.2104|8.1.102.2106|
|pcdcpsnaxdb01|1.0.2.2104|8.1.102.2106|
|pcdcpsraxdb01|1.0.2.2104|8.1.102.2106|
|pcdcptaaxap98|1.0.2.2104|8.1.102.2106|
|pcdcptaaxap99|1.0.2.2104|8.1.102.2106|
|pcdcptaaxdb98|1.0.2.2104|8.1.102.2106|
|pcdcptaaxdb99|1.0.2.2104|8.1.102.2106|
|pcdcptaaxfs01|1.0.2.2104|8.1.102.2106|
|pcdcsapaxrs01|1.0.2.2104|8.1.102.2106|
|pcdcsspaxdb01|||
|pcdcta2axap98|1.0.2.2104|8.1.102.2106|
|pcdcta2axap99|1.0.2.2104|8.1.102.2106|
|pcdcta2axdb98|1.0.2.2104|8.1.102.2106|
|pcdcta2axdb99|1.0.2.2104|8.1.102.2106|
|pcdcunxaxap01|1.0.2.2102|8.1.102.2104|
|phlycdcvilax019|||
|phlycdcvilax020|||
|phlycdcvilax025|||
|phlycdcvilax027|||
|phlycdcvilax055|||
|phlycdcvilax109|||
|phlycdcvilax113|||
|phlycdcvilax118|||
|phlycdcvilax120|||
|phlypaax158|||
|phlypaax219|||
|phlypaax241|||
|phlypaax38|||
|phlypaax89_old|||
|phlypapv001|1.0.2.2104|8.1.102.2106|
|phlypapv002|1.0.2.2104|8.1.102.2106|
|phlypapv003|1.0.2.2104|8.1.102.2106|
|phlypapv004|1.0.2.2104|8.1.102.2106|
|phlypapv005|1.0.2.2104|8.1.102.2106|
|phlypapv006|1.0.2.2104|8.1.102.2106|
|phlypapv007|||
|phlypapv009|||
|phlypapv010|||
|phlypapv011|||
|phlypapv012|||
|phlypapv013|||
|phlypapv014|||
|phlypapv015|||
|phlypapv016|||
|phlypapv017|||
|phlypapv018|||
|phlypapv019|||
|phlypapv020|||
|phlypapv023|1.0.2.1500|7.5.102.1500|
|phlypapv024|1.0.2.1500|7.5.102.1500|
|phlypapv107|||
|phlypcdcbcpaxdb99|||
|phlypcdcbkpaxdm01|||
|phlypcdcccsaxdb01|||
|phlypcdceu3axap01|||
|phlypcdcforaxap01|||
|phlypcdcforaxap02|||
|phlypcdcforaxdb01|||
|phlypcdch1paxap01|||
|phlypcdch1paxap99|||
|phlypcdch1paxdb99|||
|phlypcdchypaxdb01|||
|phlypcdcmanaxdb01|||
|phlypcdcmngaxdb01|||
|phlypcdcna3axap01|||
|phlypcdcpaiaxdb01|||
|phlypcdcpasaxdb01|||
|phlypcdcpcuaxdb01|||
|phlypcdcpepaxdb01|||
|phlypcdcpgtaxdb01|||
|phlypcdcpgwaxdb01|||
|phlypcdcpimaxdb01|||
|phlypcdcpjbaxdb01|||
|phlypcdcplpaxdb01|||
|phlypcdcprmaxdb01|||
|phlypcdcps1axdb01|||
|phlypcdcps2axdb01|||
|phlypcdcpscaxdb01|||
|phlypcdcpsnaxap01|||
|phlypcdcpsnaxap02|||
|phlypcdcpsnaxap03|||
|phlypcdcpsnaxdb01|||
|phlypcdcpsraxdb01|||
|phlypcdcptaaxap99|||
|phlypcdcptaaxdb99|||
|phlypcdcptaaxfs01|||
|phlypcdcsapaxrs01|||
|phlypcdcsspaxdb01|||
|phlypcdcta2axap99|||
|phlypcdcta2axdb99|||
|phlysap2212|||
|phlysap2213|||
|phlysap2217|||
|phlysap2219|||
|phlyscdcpocaxsv01|||
|phlysfldmiax119|||
|phlysfldmiax153|||
|phlysfldmiax154|||
|phlysfldmiax157|||
|phlysfldmiax173|||
|phlysfldmiax258|||
|phlysfldmiax259|||
|phlysfldmiax265|||
|phlysfldrs04|||
|phlysfldrs05|||
|qcdcbcpaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcccsaxdb01|1.0.2.1300|7.5.102.1100|
|qcdceu3axap01|1.0.2.2104|8.1.102.2106|
|qcdcftaaxdb01|1.0.2.2104|8.1.102.2106|
|qcdch1taxap01|1.1.1.1200|8.1.112.1201|
|qcdch1taxdb01|1.1.1.1200|8.1.102.2106|
|qcdcit0axdb01|1.0.2.2104|8.1.102.2106|
|qcdcna3axap01|1.0.2.2104|8.1.102.2106|
|qcdcodbaxdb01|1.0.2.1801|7.5.102.1801|
|qcdcpltaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqgtaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqgwaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqimaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqjbaxdb01|||
|qcdcqrmaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqscaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqsnaxap01|1.0.2.2104|8.1.102.2106|
|qcdcqsnaxdb01|1.0.2.2104|8.1.102.2106|
|qcdcqsraxdb01|1.0.2.2104|8.1.102.2106|
|qcdcssqaxdb01|||
|scdcplsaxdb01|1.0.2.2104|8.1.102.2106|
|scdcpocaxsv01|||
|scdcpocaxsv02|1.0.2.2104|8.1.102.2106|
|scdcpocaxsv03|1.0.2.2104|8.1.102.2106|
|scdcpocaxsv04|1.0.2.2102|8.1.102.2104|
|scdcstaaxdb01|1.0.2.2104|8.1.102.2106|
|sfldmiax11|1.0.2.2103|7.5.102.1100|
|sfldmiax112|1.0.2.2104|8.1.102.2106|
|sfldmiax113|1.0.2.2104|8.1.102.2106|
|sfldmiax119|1.0.2.1801|7.5.102.1801|
|sfldmiax125|1.0.2.2104|8.1.102.2106|
|sfldmiax126|1.0.2.2104|8.1.102.2106|
|sfldmiax130|1.0.2.2104|8.1.102.2106|
|sfldmiax132|1.0.2.2104|8.1.102.2106|
|sfldmiax133|1.0.2.2104|8.1.102.2106|
|sfldmiax140|3.0.5.101|8.1.102.2106|
|sfldmiax153|1.0.2.2103|7.5.102.1100|
|sfldmiax154|1.0.2.2103|7.5.102.1100|
|sfldmiax157|1.0.2.2102|8.1.102.2104|
|sfldmiax158|1.0.2.2102|8.1.102.2104|
|sfldmiax160|1.0.2.2102|8.1.102.2104|
|sfldmiax170|1.0.2.2100|8.1.102.2101|
|sfldmiax173|1.0.2.2100|8.1.102.2101|
|sfldmiax219|0.9.8.1100|5.2.0.5301|
|sfldmiax241|3.0.5.101|8.1.102.2106|
|sfldmiax263|1.0.2.2100|8.1.102.2101|
|sfldmiax264|1.0.2.2102|8.1.102.2104|
|sfldmiax265|1.0.2.2102|8.1.102.2104|
|sfldmiax285|1.0.2.2104|8.1.102.2106|
|sfldmiax33|1.0.2.1000|5.2.0.5301|
|sfldmiax36|1.0.2.1000|6.0.0.6201|
