====== AIX Disaster Recovery Server Operating System Level  Documentation ======

Prepared on Thu Feb 13 12:13:23 CST 2014

^Server Name^OS^Operating System Level^Microcode Level^
|teprbk01|AIX|7100-01-03-1207|AM730_066|9212|348|8864|3%| IBM,9179-MHB|06E6B85| PowerPC_POWER7| 3864 MHz|4|EU-Netbackup |EU Backup Server |Lincolnshire |
|taqa1d01|AIX|7100-01-04-1216|AM730_066|8330|981|7348|11%| IBM,9179-MHB|06E6B85| PowerPC_POWER7| 3864 MHz|4|NA-Netbackup |NA Backup Server |Lincolnshire |
|tapr1d01|AIX|7100-02-02-1316|EM350_143|7441|738|6702|9%| IBM,9117-MMA|109F390| PowerPC_POWER6| 4704 MHz|16|PTA |PTA ERP SAP DB Server |Lincolnshire |
|peerap99|AIX|7100-02-02-1316|EM350_149|268|145|122|54%| IBM,9117-MMA|109F3A0| PowerPC_POWER6| 4704 MHz|4|TA2 |TA2 Primary CI/NFS App Server-Production |Lincolnshire |
|peerdb99|AIX|7100-02-02-1316|EM350_149|9487|537|8950|5%| IBM,9117-MMA|109F3A0| PowerPC_POWER6| 4704 MHz|16|TA2 |TA2 Primary DB Server - Production |Lincolnshire |
|peerap98|AIX|7100-02-02-1316|EM350_143|44|37|6|84%| IBM,9117-MMA|109F390| PowerPC_POWER6| 4704 MHz|4|TA2 |TA2 Standby CI/NFS App Server |Lincolnshire |
|peerdb98|AIX|7100-02-02-1316|EM350_143|9470|568|8901|6%| IBM,9117-MMA|109F390| PowerPC_POWER6| 4704 MHz|12|TA2 |TA2 Standby DB Server - Production |Lincolnshire |
|itcap001|AIX|5300-12-01-1016|EM350_143|150|106|43|71%| IBM,9117-MMA|109F390| PowerPC_POWER6| 4704 MHz|1|PMFC,PWFC,PTCT |Manugistics Prod DB/App Server |Lincolnshire |
|paerap01|AIX|7100-02-02-1316|EA350_136|54|43|10|79%| IBM,7998-61X|061246A| PowerPC_POWER6| 4005 MHz|4|PTA |PTA ERP App Server#1 |Lincolnshire |
|paerap02|AIX|7100-02-02-1316|EA350_136|52|41|11|78%| IBM,7998-61X|06124BA| PowerPC_POWER6| 4005 MHz|4|PTA |PTA ERP App Server#2 |Lincolnshire |
|paerap03|AIX|7100-02-02-1316|EA350_136|68|55|12|81%| IBM,7998-61X|061249A| PowerPC_POWER6| 4005 MHz|4|PTA |PTA ERP App Server#3 |Lincolnshire |
