^No^Hostname^Role^System Backup^Model^Ser No.^Location^Rack^Virtual^Virtualization^Physical Host^AppName^Landscape^Contacts^
|1 | taprvio3  |VIO UNIX Infrastructure Server  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |UNIX Rack #1 Blade Center 1 Blade 1  |yes  |powervm  |1  |VIOS3  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|2 | taprvio6  |VIO UNIX Infrastructure Server  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |UNIX Rack #1 Blade Center 1 Blade 4  |yes  |powervm  |5  |VIOS6  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|3 | paerap01  |PTA ERP App Server#1 TA-Direct Interface to PTA  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA TA-Direct  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|4 | paerap03  |PTA ERP App Server#3  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA   |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|5 | paerap05  |PTA ERP App Server#5   |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA   |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|6 | taprvio18  |VIO UNIX Infrastructure Server  |taitc118  |IBM,8406-70Y  |  |Lincolnshire  |UNIX Rack #1 Blade Center 1 Blade 13  |yes  |powervm  |13  |VIOS18  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|7 | paerap04  |PTA ERP App Server#4  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA   |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|8 | paerap02  |PTA ERP App Server#2   |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA  |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|9 | taprvio7  |VIO UNIX Infrastructure Server  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 6  |yes  |powervm  |5  |VIOS6  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|10 | taprvio14  |Bladecentre 2 - blade 7 - taprvio14  |taitc118  |  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 7  |yes  |powervm  |  |VIOS14  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|11 | taprvio8  |VIO UNIX Infrastructure Server  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 8  |yes  |powervm  |8  |VIOS8  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|12 | taprvio9  |VIO UNIX Infrastructure Server  |  |  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 9  |yes  |powervm  |  |VIOS9  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|13 | taprvio15  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 10  |yes  |powervm  |10  |VIOS15  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|14 | paerap06  |PTA ERP App Server#6  |taitc118  |IBM,7998-61X  |  |Lincolnshire  |2  |no  |  |  |SAP PTA   |  |David Morris,Jake Dombrowski,Todd Davis,Rick Roeber,Robin Kuhn, Inge Pinnoy, Hilde Gybels,Paul Burke,Thomas Jacob, Paul Caston,Luc Adons,Shane Richter| 
|15 | taprvio17  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 13  |yes  |powervm  |13  |VIOS17  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|16 | taprvio16  |provides virtualization to Power8 AIX systems   |taitc118  |  |  |Lincolnshire  |UNIX Rack #1 Blade Center 2 Blade 14  |yes  |IBM powervm  |  |IBM/VIOS  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|17 | teprbk01  |EU Backup Server master and media server   |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |EU Lanscape Netbackup  |  || 
|18 | daerdb01  |CTA ERP SAP Oracle DB/CI Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |SAP CTA Oracle DB and Web dispatcher  |  | David Moris, Paul Burke,Thomas Jacob,Eric Van Asbroeck,Luc Adons,Johnny Bosmans,Henk Kiewiet,David Lei,Sugar Tang,Claudio Baccaro,Eugenia de la Cruz,Edson Martos, Robin Kuhn, Inge Pinnoy, Hilde Gybels, Todd Davis| 
|19 | taprvio50  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |VIOS50  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|20 | taprvio51  |VIO UNIX Infrastructure Server  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |VIOS51  |  | Chris Stachowiak,Robert Bieniek,Kapilraj Koroth| 
|21 | qaerdb01  |FTA ERP SAP Oracle DB Server and Web dispatcher  |taitc118  |  |  |Lincolnshire  |11  |yes  |powervm  |ETS-9179-MHB-SN06E6B85  |FTA Oracle DB Server and Web dispatcher  |  |David Morris, Todd Davis, Rick Roeber, Jake Dombrowski, Robin Kuhn, Inge Pinnoy, Paul Burke, Thomas Jacob, Luc Adons, Paul Caston, Danny Smeets| 
|22 | dahrdb01  |CTB/NA HR Development  DB Server-to be dcommed after Global HR migration  |taitc118  |  |  |Lincolnshire  |11  |yes  |IBM powervm  |ETS-9179-MHB-SN06E6B85  |OLD NA HR Oracle DB Server CTB  |  |Tim Smith,Margaret Hyatt,Pud Hupkins,Shane Richter,TAITIOSSAPBasis,DBA| 
