^Server^VIOS^AIX^
|taprvio3|2.2.3.3| 6100-08-03-1339|
|taprvio6| 2.2.2.1| 6100-07-03-1207|
|taprvio18| 2.2.2.1| 6100-07-03-1207|
|taprvio7| 2.2.2.1| 6100-07-03-1207|
|taprvio14| 2.2.2.1| 6100-07-03-1207||
|taprvio8| 2.2.2.1| 6100-02-10-1036|
|taprvio9| 2.2.2.2| 6100-08-02-1316|
|taprvio15| 2.2.2.1| 6100-02-10-1036|
|taprvio17| 2.2.2.1| 6100-07-06-1241|
|taprvio16| 2.2.2.1| 6100-07-03-1207|
|taprvio50| 2.2.0.10-FP-24| 6100-06-01-1043|
|taprvio51| 2.2.0.10-FP-24| 6100-06-01-1043|
|taprvio21| 2.2.0.11-FP-24 SP-01| 6100-06-03-1048|
|taprvio20| 2.2.0.11-FP-24 SP-01| 6100-06-03-1048|
|taprvio30| 2.2.0.11-FP-24 SP-01| 6100-06-03-1048|
|taprvio31| 2.2.0.11-FP-24 SP-01| 6100-06-03-1048|
|taprvio40| 2.2.0.10-FP-24| 6100-04-06-1034|
|taprvio41| 2.2.0.10-FP-24| 6100-04-06-1034|
|taprvio60| 2.2.1.3| 6100-00-00-0000|
|taprvio70| 2.2.1.3| 6100-00-00-0000|
|taprvio80| 2.2.2.3| 6100-08-03-1339|
|taprvio81| 2.2.2.3| 6100-08-03-1339|
|taprvio90| 2.2.3.3| 6100-09-03-1415|
|taprvio91| 2.2.3.3| 6100-09-03-1415|
|taprvio140| 2.2.3.3| 6100-09-03-1415|
|taprvio141| 2.2.3.3| 6100-09-03-1415|
|taprvio5| 2.2.2.3| 6100-08-03-1339|
|taprvio19| 2.2.2.3| 6100-08-03-1339|
